term,reading,category,definition
決算振替仕訳,けっさんふりかえしわけ,決算,決算整理後のすべての収益勘定残高と費用勘定残高を損益勘定に振り替え、損益勘定の差額を繰越利益剰余金へ振り替える仕訳のこと。
減価償却,げんかしょうきゃく,固定資産,固定資産の使用や時の経過に応じた価値の減少を見積もって費用として計上する手続きのこと。
減価償却費,げんかしょうきゃくひ,固定資産,減価償却により計上される費用のこと。
現金過不足,げんきんかぶそく,現金,現金勘定の帳簿上の残高と金庫など実際に手許に残っている現金の金額にズレが生じている状態。
現金主義,げんきんしゅぎ,決算,現金の収支に基づいて収益や費用を計上する考え方。
現金出納帳,げんきんすいとうちょう,帳簿,「現金」勘定の増減明細（入金と出金）を記録するための帳簿。
源泉徴収,げんせんちょうしゅう,給与,会社が従業員の所得税を給与・賞与から差し引き、本人の代わりに納付する仕組み。いわゆる給与天引き。
小切手,こぎって,現金,一定の金額の支払いを約束する証券のこと。小切手を指定された銀行に持っていくと現金に換えることができる。
小口現金,こぐちげんきん,現金,日々の支払いに使うための少額の現金のこと。
小口現金出納帳,こぐちげんきんすいとうちょう,帳簿,「小口現金」勘定の増減明細（補給と支払い）を記録するための帳簿。
固定資産,こていしさん,固定資産,事業に使用するために保有する資産のうち、１年以上使用する資産のこと。
固定資産税,こていしさんぜい,税金,所有している土地や建物などの固定資産に課される税金。
固定資産台帳,こていしさんだいちょう,帳簿,固定資産の増減を記録するための帳簿。
債権,さいけん,債権,特定の人に、特定の行為や給付を請求できる権利のこと。
債権者請求方式,さいけんしゃせいきゅうほうしき,電子記録,債権者側が発生記録の請求を行う方式。
債務,さいむ,債務,特定の人に、特定の行為や給付を行う義務のこと。
債務者請求方式,さいむしゃせいきゅうほうしき,電子記録,債務者側が発生記録の請求を行う方式。
差額補充法,さがくほじゅうほう,決算,貸倒引当金の計上方法の一つで、当期の貸倒見積高と貸倒引当金の期末残高との差額分のみを計上する方法。
先入先出法,さきいれさきだしほう,商品,先に受け入れたものから先に払い出すものと仮定して、払出単価を決定する方法。
三伝票制,さんでんぴょうせい,帳簿,入金伝票、出金伝票、振替伝票の３種類の伝票を用いる伝票制度。
三分法,さんぶんぽう,商品,「仕入」「売上」「繰越商品」の３つの勘定科目を使用して商品売買を記録する方法のこと。
財務諸表,ざいむしょひょう,決算,会社の外部に決算を報告するための書類。簿記３級では、貸借対照表と損益計算書のことを指す。
残存価額,ざんぞんかがく,固定資産,耐用年数が経過したあとに残る資産の価値のこと。
仕入れ,しいれ,商品,商品を買うこと。
